Posted On,Size,Rent,No of Bedrooms,No of Bathrooms,Floor,Area Type,City,Condition of the House,Age of House (in Years),Overall Grade,Furnishing Status,Latitude,Longitude,Tenant Preferred,Point of Contact
31-05-22,2100,1200,3,1.75,0,Carpet Area,Hyderabad,Fair,61,7,Furnished,47.7512,-122.342,Bachelors/Family,Contact Owner
24-05-22,200,1500,4,2.5,0,Super Area,Kolkata,Fair,26,9,Semi-Furnished,47.3846,-122.169,Bachelors/Family,Contact Owner
12-05-22,500,1800,3,4.25,0,Super Area,Kolkata,Fair,18,10,Semi-Furnished,47.6336,-122.064,Bachelors/Family,Contact Owner
22-06-22,60,2000,2,1,1,Super Area,Delhi,Fair,71,7,Unfurnished,47.7252,-122.331,Bachelors/Family,Contact Owner
05-06-22,550,2200,4,1,0,Super Area,Kolkata,Fair,113,8,Furnished,47.6354,-122.353,Bachelors/Family,Contact Owner
20-06-22,700,2200,3,1,0,Super Area,Kolkata,Good,94,7,Unfurnished,47.6729,-122.363,Bachelors/Family,Contact Owner
04-06-22,200,3000,3,2,1,Super Area,Kolkata,Fair,57,7,Unfurnished,47.398,-122.299,Bachelors/Family,Contact Owner
19-05-22,160,3000,3,1,1,Super Area,Kolkata,Good,57,7,Unfurnished,47.4075,-122.214,Bachelors/Family,Contact Owner
05-05-22,500,3000,4,2.75,3,Super Area,Kolkata,Okay,53,8,Semi-Furnished,47.7776,-122.384,Bachelors/Family,Contact Owner
08-06-22,350,3000,4,3.5,0,Super Area,Kolkata,Fair,67,9,Unfurnished,47.669,-122.275,Bachelors/Family,Contact Owner
12-05-22,350,3000,4,2.5,0,Super Area,Chennai,Fair,16,9,Unfurnished,47.3314,-122.18,Bachelors/Family,Contact Owner
14-06-22,350,3000,4,4.5,0,Super Area,Chennai,Fair,14,10,Unfurnished,47.5426,-121.995,Bachelors/Family,Contact Owner
06-07-22,80,3000,4,2.25,1,Super Area,Hyderabad,Fair,34,10,Semi-Furnished,47.5169,-122.209,Bachelors/Family,Contact Owner
06-06-22,100,3000,4,3.25,4,Super Area,Hyderabad,Fair,21,10,Semi-Furnished,47.567,-122.033,Bachelors/Family,Contact Owner
27-06-22,800,3200,3,1.75,0,Carpet Area,Kolkata,Okay,100,6,Furnished,47.6846,-122.345,Bachelors/Family,Contact Owner
29-06-22,220,3200,3,1.75,1,Super Area,Kolkata,Fair,49,7,Unfurnished,47.2929,-122.371,Bachelors/Family,Contact Owner
28-04-22,175,3300,3,1,2,Super Area,Kolkata,Okay,77,7,Unfurnished,47.5346,-122.385,Bachelors/Family,Contact Owner
12-05-22,200,3300,3,1,0,Super Area,Hyderabad,Excellent,79,6,Unfurnished,47.2092,-121.997,Bachelors/Family,Contact Owner
14-05-22,250,3500,3,2.25,1,Super Area,Kolkata,Fair,39,7,Semi-Furnished,47.6113,-122.297,Bachelors/Family,Contact Owner
13-05-22,250,3500,3,1,3,Super Area,Kolkata,Fair,71,7,Furnished,47.655,-122.359,Bachelors/Family,Contact Owner
20-06-22,500,3500,2,2,0,Carpet Area,Kolkata,Fair,13,8,Unfurnished,47.7076,-122.013,Bachelors,Contact Owner
13-06-22,1000,3500,4,2.75,1,Super Area,Kolkata,Excellent,58,7,Semi-Furnished,47.5218,-122.164,Bachelors/Family,Contact Owner
29-06-22,200,3500,4,2.5,0,Super Area,Kolkata,Okay,50,7,Semi-Furnished,47.4281,-122.343,Bachelors/Family,Contact Owner
19-05-22,150,3500,3,2.25,1,Super Area,Bangalore,Fair,37,8,Unfurnished,47.4464,-122.123,Bachelors/Family,Contact Owner
14-05-22,180,3500,3,2.5,1,Super Area,Delhi,Fair,33,8,Unfurnished,47.5028,-121.769,Bachelors/Family,Contact Owner
14-05-22,350,3500,4,3.5,2,Super Area,Delhi,Fair,20,10,Unfurnished,47.5945,-121.981,Bachelors/Family,Contact Owner
04-06-22,25,3500,5,3.5,0,Super Area,Delhi,Fair,27,10,Unfurnished,47.4384,-122.347,Bachelors/Family,Contact Owner
01-06-22,600,3500,3,1,1,Super Area,Chennai,Okay,57,7,Unfurnished,47.3608,-122.29,Bachelors,Contact Owner
10-06-22,500,3500,3,2.25,1,Super Area,Chennai,Okay,68,7,Semi-Furnished,47.5048,-122.241,Bachelors/Family,Contact Owner
09-07-22,300,3500,3,2,1,Super Area,Chennai,Excellent,46,7,Unfurnished,47.4703,-122.112,Bachelors/Family,Contact Owner
14-06-22,150,3700,4,2.5,2,Carpet Area,Kolkata,Fair,19,10,Unfurnished,47.684,-122.205,Bachelors,Contact Owner
14-06-22,500,3800,6,1.75,0,Carpet Area,Kolkata,Okay,63,7,Unfurnished,47.42,-122.323,Bachelors,Contact Owner
23-06-22,200,3900,4,2,2,Super Area,Kolkata,Fair,68,6,Furnished,47.4965,-122.303,Bachelors/Family,Contact Owner
15-06-22,300,4000,5,2.5,1,Carpet Area,Kolkata,Fair,23,8,Unfurnished,47.3266,-122.169,Bachelors/Family,Contact Owner
02-07-22,600,4000,3,1,1,Carpet Area,Kolkata,Fair,117,6,Unfurnished,47.6101,-122.307,Bachelors/Family,Contact Owner
